aX,aY,aZ,gX,gY,gZ
-0.842,2.756,0.150,88.989,22.827,121.216
-0.838,2.619,0.118,70.435,23.132,66.589
-0.715,2.354,0.034,44.678,26.245,10.559
0.663,0.012,0.089,-6.165,8.606,-156.372
0.656,0.049,0.101,-6.897,10.925,-146.912
0.646,0.047,0.104,-2.197,13.550,-140.991
0.615,-0.000,0.084,5.859,15.564,-139.587
0.681,-0.117,0.059,15.076,16.357,-142.761
0.694,-0.275,0.069,19.470,13.428,-147.644
0.731,-0.455,0.103,11.536,10.010,-149.597
0.736,-0.589,0.138,-8.118,6.470,-140.442
0.739,-0.668,0.156,-33.813,3.845,-120.056
0.753,-0.724,0.177,-55.359,1.465,-91.797
0.734,-0.746,0.212,-68.115,-1.221,-61.401
0.695,-0.758,0.253,-72.205,-2.563,-31.372
0.692,-0.785,0.318,-69.763,-0.610,-2.625
0.654,-0.781,0.374,-66.345,0.122,22.705
0.624,-0.790,0.444,-62.439,-3.601,41.443
0.568,-0.833,0.536,-56.946,-4.883,58.655
0.506,-0.896,0.637,-53.284,-3.784,73.975
0.512,-0.976,0.692,-54.016,-1.587,86.304
0.511,-1.074,0.779,-57.068,2.991,100.464
0.353,-1.160,0.901,-57.251,16.846,124.573
0.288,-1.195,0.879,-54.932,46.326,156.433
0.227,-1.177,0.731,-43.030,89.844,202.759
-0.062,-1.047,0.584,-10.254,135.925,262.451
-0.266,-0.842,0.450,41.992,162.537,322.876
-0.452,-0.586,0.416,91.675,160.767,376.404
-0.635,-0.226,0.428,111.511,145.752,422.180
-0.788,0.232,0.406,100.769,134.583,459.351
-0.871,0.747,0.341,78.552,131.042,482.483
-0.963,1.198,0.296,64.148,129.456,481.873
-0.982,1.544,0.282,59.998,122.925,457.825
-0.955,1.804,0.280,53.894,111.816,423.950
-0.966,1.979,0.258,33.325,109.985,391.418
-0.969,2.071,0.160,-3.296,113.647,353.149
-0.924,2.096,0.037,-44.922,113.464,311.157
-0.930,2.109,-0.042,-78.308,107.361,276.123
-0.926,2.162,-0.103,-95.093,101.929,255.066
-0.934,2.270,-0.169,-99.182,102.234,244.934
-0.937,2.448,-0.263,-96.069,106.567,238.892
-0.945,2.654,-0.376,-86.975,111.694,231.445
-0.875,2.816,-0.506,-69.458,115.295,217.651
-0.949,2.946,-0.563,-40.771,116.882,199.524
-0.926,3.069,-0.653,-6.592,119.202,180.298
-0.909,3.131,-0.712,17.883,116.760,154.419
-0.905,3.155,-0.751,29.053,107.544,122.620
-0.892,3.142,-0.804,25.452,96.497,86.670
-0.909,3.091,-0.841,9.705,80.872,47.607
-0.789,2.974,-0.896,-18.433,57.922,2.563
-0.709,2.719,-0.851,-56.213,27.893,-42.786
-0.639,2.439,-0.746,-105.835,-1.648,-76.233
-0.565,2.247,-0.640,-158.630,-25.879,-93.140
-0.481,2.129,-0.518,-192.444,-47.363,-102.783
-0.410,2.030,-0.388,-195.618,-63.354,-114.685
-0.333,1.893,-0.242,-176.819,-70.007,-130.737
-0.236,1.734,-0.094,-153.687,-68.604,-149.231
-0.207,1.575,0.007,-141.174,-61.035,-164.673
-0.129,1.440,0.015,-139.282,-43.823,-177.002
-0.080,1.288,-0.015,-143.188,-23.315,-189.941
-0.087,1.112,-0.079,-152.954,-7.507,-201.294
-0.040,0.928,-0.156,-168.762,4.028,-210.999
-0.061,0.771,-0.194,-189.087,6.042,-214.905
-0.099,0.632,-0.240,-212.219,1.404,-210.754
-0.047,0.485,-0.294,-229.797,-5.066,-201.233
0.039,0.354,-0.291,-236.633,-17.395,-189.270
0.055,0.258,-0.239,-235.718,-30.823,-174.194
0.127,0.172,-0.222,-231.323,-35.156,-158.142
0.193,0.128,-0.222,-221.436,-32.837,-142.517
0.228,0.127,-0.231,-206.604,-27.100,-127.075
0.260,0.114,-0.251,-188.232,-17.578,-114.014
0.250,0.067,-0.266,-171.875,-6.165,-106.873
0.247,0.030,-0.320,-164.551,6.104,-101.929
0.291,0.000,-0.389,-162.903,16.907,-95.276
0.118,-0.037,-0.419,-160.645,23.682,-86.792
0.163,-0.088,-0.515,-160.095,32.715,-82.092
0.122,-0.151,-0.581,-160.645,32.227,-74.951
0.083,-0.260,-0.628,-162.964,27.405,-65.796
0.090,-0.382,-0.673,-169.617,21.240,-56.458
0.095,-0.505,-0.685,-177.185,10.620,-45.166
0.075,-0.622,-0.655,-179.321,-0.610,-29.358
0.050,-0.708,-0.630,-174.683,-6.653,-9.705
0.021,-0.810,-0.636,-160.583,-7.446,12.024
-0.017,-0.959,-0.654,-140.198,-5.615,34.363
-0.017,-1.071,-0.739,-123.474,-3.052,60.791
-0.035,-1.153,-0.820,-109.009,-3.967,91.370
-0.075,-1.299,-0.850,-92.773,-13.977,120.056
-0.037,-1.510,-0.826,-77.942,-29.663,145.874
-0.083,-1.746,-0.703,-63.477,-46.082,174.316
-0.224,-2.017,-0.542,-45.044,-55.359,209.106
-0.278,-2.311,-0.437,-17.700,-55.542,250.427
-0.495,-2.434,-0.344,22.339,-49.255,304.932
-0.890,-2.322,-0.319,76.904,-32.593,379.028
-1.184,-2.062,-0.329,141.296,-20.386,461.182
-1.408,-1.549,-0.188,195.740,-36.255,536.194
-1.591,-0.782,0.058,219.727,-63.965,608.032
-1.646,0.047,0.215,216.797,-70.374,654.785
-1.695,0.817,0.271,207.275,-53.284,659.729
-1.591,1.447,0.214,199.402,-31.799,634.094
-1.625,1.686,0.241,194.153,-14.404,592.712
-1.705,1.945,0.169,198.425,8.667,544.800
-1.722,2.198,0.068,199.280,28.687,484.802
-1.823,2.436,0.032,193.970,26.917,426.819
-1.828,2.676,-0.015,180.115,19.470,376.953
-1.849,2.896,-0.052,161.682,12.085,330.383
-1.656,3.045,-0.151,145.020,7.935,273.560
-1.516,2.989,-0.159,127.136,4.639,195.679
-1.401,2.733,-0.122,104.187,5.432,113.403
-1.254,2.425,-0.100,79.163,14.282,50.720
-1.206,2.110,-0.099,57.068,24.658,10.864
-1.181,1.956,-0.169,45.166,34.607,-1.587
-1.072,1.834,-0.215,53.223,37.842,-4.883
-0.996,1.718,-0.196,67.993,34.241,-12.573
-0.904,1.655,-0.198,76.294,34.668,-19.226
-0.849,1.618,-0.190,80.994,37.415,-21.484
-0.739,1.602,-0.208,82.764,40.894,-25.696
-0.693,1.588,-0.256,81.787,44.067,-32.532
-0.619,1.569,-0.320,81.421,47.119,-38.940
-0.559,1.523,-0.357,80.566,47.119,-48.401
-0.508,1.462,-0.396,77.209,43.762,-58.105
-0.472,1.363,-0.451,69.580,42.664,-66.101
